"Marca","Modelo","Ano","A Definir",Conforto,Seguranca,GastosFixos,Desempenho,Carroceria,NumLugares,NumeroDePortas,Finalidade,Combustivel,Valor,SensorDeEstacionamento,ArCondicionado,Bluetooth,Direcao,BancoCouro,GPS,VidrosEletricos,PilotoAutomatico,TetoSolar,TamPortaMala,Cacamba,ComputadorBordo,DisponibiliPeca,Airbag,ABS,Blindagem,FarolNeblina,IPVA,ConsumoGasolina,Seguro,Manutencao,Motor,CavalosForca,VelMaxima
"Chevrolet","Camaro","2018","A Definir",,,,,5,5,1,4,1,5,5,5,5,5,5,5,5,5,1,1,0,5,1,5,5,1,5,3,4,3,3,5,3,3
"Chevrolet","Cobalt","2019","A Definir",,,,,2,5,3,1,2,3,5,5,5,5,1,1,5,1,1,5,0,1,5,5,5,1,1,2,3,2,1,1,1,1
"Chevrolet","Cruze",2019,"A Definir",,,,,2,5,3,1,2,3,1,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,2,2,2,3,1,2,3
"Chevrolet","Equinox","2019","A Definir",,,,,3.5,5,3,1,1,4,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,2,2,2,2,3,3,1
"Chevrolet","Montana","2019","A Definir",,,,,4.5,2,1,2,2,3,1,5,1,3,1,1,5,1,1,0,5,5,5,5,5,1,1,1,2,2,1,1,1,1
"Chevrolet","Onix","2019","A Definir",,,,,1,5,3,1,2,3,1,5,1,5,1,1,5,1,1,3,0,1,5,5,5,1,1,1,2,1,1,1,1,1
"Chevrolet","Prisma","2019","A Definir",,,,,2,5,3,1,2,3,5,5,1,5,1,1,5,1,1,5,0,1,5,5,5,1,1,2,2,1,1,1,1,1
"Chevrolet","S10","2019","A Definir",,,,,4.5,5,3,2,2,3,5,5,5,5,1,5,5,1,1,0,5,5,3,5,5,1,5,2,3,2,2,3,2,1
"Chevrolet","Spin","2019","A Definir",,,,,3,5,3,1,2,3,1,5,5,5,1,1,5,1,1,5,0,1,3,5,5,1,1,2,3,2,2,2,2,1
"Chevrolet","Tracker","2018","A Definir",,,,,3.5,5,3,1,2,3,5,5,5,5,1,1,5,5,1,3,0,5,3,5,5,1,5,2,2,2,2,1,2,1
"Chevrolet","TrailBlazer","2019","A Definir",,,,,3.5,7,3,3,1,4,5,5,5,5,5,5,5,5,1,2,0,5,3,5,5,1,5,3,3,3,2,4,3,1
"FIAT","500",2017,"A Definir",,,,,2.5,4,1,1,2,3,1,5,5,5,1,1,5,1,5,1,0,5,3,5,5,1,1,2,2,2,2,1,1,1
"FIAT","Argo","2019","A Definir",,,,,1,5,3,1,2,3,1,5,5,5,1,1,5,1,1,3,0,5,5,5,5,1,1,1,1,2,1,1,1,1
