,Marca,Modelo,Ano,selected
0,Chevrolet,Cobalt,2019,0
1,Chevrolet,Equinox,2019,0
2,Chevrolet,Montana,2019,0
3,Chevrolet,Prisma,2019,0
4,Chevrolet,Spin,2019,0
5,FIAT,500,2017,0
6,FIAT,Doblo,2018,0
7,FIAT,Strada Adventure,2019,0
8,FIAT,Weekend Attractive,2019,0
9,Aston Martin,Rapide S,2016,0
10,Aston Martin,Vanquish,2016,0
11,Audi,Q3,2018,0
12,Audi,Sportback Ambiente S Tronic,2018,0
13,Audi,A3 Sedan,2018,0
14,Audi,TT,2018,0
15,Audi,Q5,2018,0
16,Audi,SQ5,2018,0
17,BMW,I8,2017,0
18,BMW,X5,2018,0
19,BMW,530i,2018,0
20,BMW,X4,2018,0
21,BMW,M3 Sedan,Ano,0
22,BMW,M2,2019,0
23,Citroen,C4 Lounge,2019,0
24,Citroen,C4 Picasso,2019,0
25,Citroen,Berlingo,2019,0
26,Ferrari,458 Italia,2015,0
27,Ferrari,448 GTB,Ano,0
28,Ford,Ranger,Ano,0
29,Ford,Focus,2019,0
30,Ford,Edge,2018,0
31,Honda,City,2019,0
32,Honda,CR-V,2018,0
33,Hyundai,HB20,2019,0
34,Hyundai,Tucson,2019,0
35,Hyundai,Creta,2019,0
36,Hyundai,Elantra,2018,0
37,Hyundai,Azera,2017,0
38,Jaguar,XJ,2017,0
39,Jaguar,E-Pace,2019,0
40,Jeep,Cherokee,2015,0
41,KIA,Cerato,2019,0
